,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Frequency 75 - ACRAZE Remix,0.7390000000000001,0.75,6.0,-3.8739999999999997,1.0,0.10099999999999999,0.000234,0.935,0.0431,0.306,121.995,audio_features,0K7zCcV0eQUE0nKBxhODTe,spotify:track:0K7zCcV0eQUE0nKBxhODTe,https://api.spotify.com/v1/tracks/0K7zCcV0eQUE0nKBxhODTe,https://api.spotify.com/v1/audio-analysis/0K7zCcV0eQUE0nKBxhODTe,184308.0,4.0
Next To You,0.53,0.39399999999999996,8.0,-8.152000000000001,1.0,0.0276,0.7559999999999999,1.4800000000000002e-05,0.099,0.19399999999999998,135.981,audio_features,4drTFbY9KJIvllrqVcJvLi,spotify:track:4drTFbY9KJIvllrqVcJvLi,https://api.spotify.com/v1/tracks/4drTFbY9KJIvllrqVcJvLi,https://api.spotify.com/v1/audio-analysis/4drTFbY9KJIvllrqVcJvLi,246813.0,4.0
Warehouse,0.491,0.8190000000000001,6.0,-6.622000000000001,0.0,0.0324,0.0516,0.000153,0.522,0.599,117.54799999999999,audio_features,4yFyjRx1e8w2iupncTBBtv,spotify:track:4yFyjRx1e8w2iupncTBBtv,https://api.spotify.com/v1/tracks/4yFyjRx1e8w2iupncTBBtv,https://api.spotify.com/v1/audio-analysis/4yFyjRx1e8w2iupncTBBtv,426240.0,4.0
F**kin' Perfect - Radio Edit,0.5579999999999999,0.654,7.0,-4.918,1.0,0.0351,0.0419,0.0,0.34700000000000003,0.495,91.961,audio_features,3ueoTboomKEQpI3r9z47Kg,spotify:track:3ueoTboomKEQpI3r9z47Kg,https://api.spotify.com/v1/tracks/3ueoTboomKEQpI3r9z47Kg,https://api.spotify.com/v1/audio-analysis/3ueoTboomKEQpI3r9z47Kg,213720.0,4.0
Rare,0.838,0.545,5.0,-6.712999999999999,1.0,0.0706,0.20800000000000002,8.01e-05,0.10300000000000001,0.631,114.99799999999999,audio_features,7HMmFQsKsljwTw8bS7lu19,spotify:track:7HMmFQsKsljwTw8bS7lu19,https://api.spotify.com/v1/tracks/7HMmFQsKsljwTw8bS7lu19,https://api.spotify.com/v1/audio-analysis/7HMmFQsKsljwTw8bS7lu19,220590.0,4.0
Turn Me On (feat. Nicki Minaj),0.705,0.794,8.0,-2.266,1.0,0.0593,0.0488,0.0,0.575,0.41200000000000003,127.961,audio_features,6JOlNkT0QdHeZB0wPbI9IR,spotify:track:6JOlNkT0QdHeZB0wPbI9IR,https://api.spotify.com/v1/tracks/6JOlNkT0QdHeZB0wPbI9IR,https://api.spotify.com/v1/audio-analysis/6JOlNkT0QdHeZB0wPbI9IR,199680.0,4.0
Team,0.851,0.40399999999999997,0.0,-11.855,1.0,0.124,0.386,2.49e-06,0.0733,0.0651,100.0,audio_features,1ooO1j7bseZCHaCFxVpoMq,spotify:track:1ooO1j7bseZCHaCFxVpoMq,https://api.spotify.com/v1/tracks/1ooO1j7bseZCHaCFxVpoMq,https://api.spotify.com/v1/audio-analysis/1ooO1j7bseZCHaCFxVpoMq,150882.0,4.0
Love Galore (feat. Travis Scott),0.795,0.594,0.0,-6.2,1.0,0.0747,0.111,0.0,0.162,0.409,135.002,audio_features,0q75NwOoFiARAVp4EXU4Bs,spotify:track:0q75NwOoFiARAVp4EXU4Bs,https://api.spotify.com/v1/tracks/0q75NwOoFiARAVp4EXU4Bs,https://api.spotify.com/v1/audio-analysis/0q75NwOoFiARAVp4EXU4Bs,275080.0,4.0
JFK,0.752,0.787,1.0,-5.912000000000001,1.0,0.327,0.17600000000000002,0.0,0.271,0.7120000000000001,88.678,audio_features,0drHbXjNetXRrdcm81pxfw,spotify:track:0drHbXjNetXRrdcm81pxfw,https://api.spotify.com/v1/tracks/0drHbXjNetXRrdcm81pxfw,https://api.spotify.com/v1/audio-analysis/0drHbXjNetXRrdcm81pxfw,214667.0,4.0
Loaded (Bonus Track) [feat. DJ Carnage],0.838,0.7809999999999999,8.0,-8.249,1.0,0.45,0.24100000000000002,0.0,0.105,0.9129999999999999,135.941,audio_features,6uz0z5oMeC8QWfTHeR5qlF,spotify:track:6uz0z5oMeC8QWfTHeR5qlF,https://api.spotify.com/v1/tracks/6uz0z5oMeC8QWfTHeR5qlF,https://api.spotify.com/v1/audio-analysis/6uz0z5oMeC8QWfTHeR5qlF,156245.0,4.0
DOLLAZ ON MY HEAD (feat. Young Thug),0.825,0.45799999999999996,0.0,-7.47,1.0,0.0577,0.114,0.0,0.102,0.161,145.115,audio_features,3nS9a01VvXHQriLqJYwRqG,spotify:track:3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/tracks/3nS9a01VvXHQriLqJYwRqG,https://api.spotify.com/v1/audio-analysis/3nS9a01VvXHQriLqJYwRqG,197760.0,4.0
Poker Face,0.831,0.885,8.0,-3.715,0.0,0.0676,0.111,0.0,0.0873,0.8440000000000001,118.992,audio_features,0nyoZ3PPwxqoIIrrB7CTLd,spotify:track:0nyoZ3PPwxqoIIrrB7CTLd,https://api.spotify.com/v1/tracks/0nyoZ3PPwxqoIIrrB7CTLd,https://api.spotify.com/v1/audio-analysis/0nyoZ3PPwxqoIIrrB7CTLd,237160.0,4.0
Still Remember (feat. Pooh Shiesty),0.862,0.564,1.0,-7.557,1.0,0.43,0.21100000000000002,0.0,0.161,0.47700000000000004,119.86200000000001,audio_features,4s0AWdpGS0Bc3kVgNBp2kk,spotify:track:4s0AWdpGS0Bc3kVgNBp2kk,https://api.spotify.com/v1/tracks/4s0AWdpGS0Bc3kVgNBp2kk,https://api.spotify.com/v1/audio-analysis/4s0AWdpGS0Bc3kVgNBp2kk,242447.0,4.0
Naughty Girl - Kasey Riot Remix,0.8240000000000001,0.7390000000000001,9.0,-9.037,0.0,0.11800000000000001,0.0025800000000000003,0.251,0.0958,0.519,123.993,audio_features,6J1fR1z1rbX0EFbngSwvp0,spotify:track:6J1fR1z1rbX0EFbngSwvp0,https://api.spotify.com/v1/tracks/6J1fR1z1rbX0EFbngSwvp0,https://api.spotify.com/v1/audio-analysis/6J1fR1z1rbX0EFbngSwvp0,289248.0,4.0
Gold Digger,0.629,0.696,1.0,-5.572,0.0,0.348,0.0195,0.0,0.0554,0.623,93.03399999999999,audio_features,1PS1QMdUqOal0ai3Gt7sDQ,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ,https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ,207627.0,4.0
At Least For Now,0.375,0.304,9.0,-9.897,1.0,0.0325,0.6829999999999999,0.0,0.196,0.295,83.83200000000001,audio_features,6VLkgf5YmLixsabdqiCVGU,spotify:track:6VLkgf5YmLixsabdqiCVGU,https://api.spotify.com/v1/tracks/6VLkgf5YmLixsabdqiCVGU,https://api.spotify.com/v1/audio-analysis/6VLkgf5YmLixsabdqiCVGU,149653.0,3.0
Video Killed The Radio Star,0.675,0.61,1.0,-13.811,1.0,0.085,0.0852,0.0188,0.159,0.344,131.037,audio_features,6t1FIJlZWTQfIZhsGjaulM,spotify:track:6t1FIJlZWTQfIZhsGjaulM,https://api.spotify.com/v1/tracks/6t1FIJlZWTQfIZhsGjaulM,https://api.spotify.com/v1/audio-analysis/6t1FIJlZWTQfIZhsGjaulM,253800.0,4.0
Got My Number,0.778,0.777,1.0,-4.805,1.0,0.0879,0.0134,0.0,0.294,0.565,105.008,audio_features,10pb48uTPwADEC9yb7j2ty,spotify:track:10pb48uTPwADEC9yb7j2ty,https://api.spotify.com/v1/tracks/10pb48uTPwADEC9yb7j2ty,https://api.spotify.com/v1/audio-analysis/10pb48uTPwADEC9yb7j2ty,174644.0,4.0
Graveyard,0.667,0.583,11.0,-5.127000000000001,0.0,0.0747,0.231,4.48e-05,0.18100000000000002,0.187,92.04299999999999,audio_features,2ufmtcIFdFpuUYBPXK5f67,spotify:track:2ufmtcIFdFpuUYBPXK5f67,https://api.spotify.com/v1/tracks/2ufmtcIFdFpuUYBPXK5f67,https://api.spotify.com/v1/audio-analysis/2ufmtcIFdFpuUYBPXK5f67,181806.0,4.0
Drift,0.583,0.66,11.0,-5.078,1.0,0.0377,0.18100000000000002,0.0,0.0979,0.861,151.95600000000002,audio_features,0RFgvrhkf9FiDRLA0BhzpZ,spotify:track:0RFgvrhkf9FiDRLA0BhzpZ,https://api.spotify.com/v1/tracks/0RFgvrhkf9FiDRLA0BhzpZ,https://api.spotify.com/v1/audio-analysis/0RFgvrhkf9FiDRLA0BhzpZ,255560.0,4.0
Dance Monkey,0.8240000000000001,0.588,6.0,-6.4,0.0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,209438.0,4.0
